RollNumber,ApplicantName,Online C,Online O
Student 57,xxxxxxxxxx,150,20
Student 58,xxxxxxxxxx,186,56
Student 59,xxxxxxxxxx,115,10
Student 60,xxxxxxxxxx,224,123
Student 61,xxxxxxxxxx,189,67
Student 62,xxxxxxxxxx,246,210
Student 63,xxxxxxxxxx,132,24
Student 64,xxxxxxxxxx,140,34
Student 65,xxxxxxxxxx,315,208
Student 66,xxxxxxxxxx,78,89
Student 67,xxxxxxxxxx,280,326
Student 68,xxxxxxxxxx,112,140
Student 69,xxxxxxxxxx,168,40
Student 70,xxxxxxxxxx,138,94
Student 71,xxxxxxxxxx,56,86
Student 72,xxxxxxxxxx,143,180
