RollNumber,ApplicantName,Played,Paused,Likes,Segment
Student 125,xxxxxxxxxx,1,0,0,0
Student 126,xxxxxxxxxx,2,2,1,1
Student 127,xxxxxxxxxx,3,1,1,2
Student 128,xxxxxxxxxx,8,13,0,7
Student 129,xxxxxxxxxx,5,3,0,4
Student 130,xxxxxxxxxx,5,7,1,4
Student 131,xxxxxxxxxx,1,7,2,0
Student 132,xxxxxxxxxx,1,1,0,0
Student 133,xxxxxxxxxx,1,0,0,0
Student 134,xxxxxxxxxx,1,1,1,0
Student 135,xxxxxxxxxx,6,7,0,5
Student 136,xxxxxxxxxx,1,0,1,0
Student 137,xxxxxxxxxx,3,0,1,2
Student 138,xxxxxxxxxx,1,0,1,0
Student 139,xxxxxxxxxx,1,0,0,0
Student 140,xxxxxxxxxx,1,0,0,0
Student 141,xxxxxxxxxx,1,6,0,0
Student 142,xxxxxxxxxx,1,4,0,0
Student 143,xxxxxxxxxx,1,3,1,0
Student 144,xxxxxxxxxx,1,4,0,0
Student 145,xxxxxxxxxx,1,5,0,0
Student 146,xxxxxxxxxx,1,5,0,0
Student 147,xxxxxxxxxx,1,5,0,0
Student 148,xxxxxxxxxx,1,2,0,0
Student 149,xxxxxxxxxx,2,0,2,1
Student 150,xxxxxxxxxx,1,0,0,0
Student 151,xxxxxxxxxx,1,1,0,0
Student 152,xxxxxxxxxx,1,1,0,0
Student 153,xxxxxxxxxx,5,0,1,4
Student 154,xxxxxxxxxx,2,0,0,1
Student 155,xxxxxxxxxx,1,0,0,0
Student 156,xxxxxxxxxx,1,0,0,0
Student 157,xxxxxxxxxx,1,0,0,0
Student 158,xxxxxxxxxx,2,0,0,1
Student 159,xxxxxxxxxx,1,0,0,0
