source;Target;W
17;6;1
17;5;1
17;11;1
17;17;1
17;6;1
17;1;1
17;1;1
18;17;1
18;17;1
6;17;1
19;17;1
19;17;1
6;17;1
17;6;1
17;20;1
6;17;1
20;17;1
17;6;1
21;17;1
4;1;1
9;4;1
1;4;1
4;4;1
12;4;1
4;12;1
13;4;1
13;4;1
13;4;1
6;4;1
16;4;1
1;1;1
1;1;1
2;1;1
3;1;1
1;1;1
1;1;1
2;1;1
4;1;1
5;1;1
1;5;1
1;4;1
7;1;1
8;1;1
14;1;1
1;14;1
10;1;1
10;1;1
1;10;1
10;1;1
11;1;1
11;1;1
3;1;1
2;1;1
1;2;1
1;1;1
1;3;1
12;1;1
5;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;3;1
13;1;1
13;1;1
13;1;1
6;1;1
6;1;1
6;1;1
6;1;1
16;1;1
17;1;1
17;1;1
18;1;1
6;1;1
6;12;1
6;4;1
6;1;1
6;3;1
6;13;1
6;6;1
6;1;1
6;13;1
6;1;1
15;6;1
15;6;1
16;6;1
17;6;1
17;6;1
6;17;1
6;5;1
6;16;1
6;12;1
19;6;1
6;17;1
6;19;1
20;6;1
6;20;1
17;6;1
6;17;1
20;6;1
17;6;1
21;6;1
6;21;1
1;1;1
1;1;1
2;1;1
3;1;1
1;1;1
1;1;1
2;1;1
4;1;1
5;1;1
9;4;1
1;5;1
1;4;1
7;1;1
7;9;1
8;2;1
8;1;1
14;1;1
14;8;1
14;2;1
1;14;1
10;1;1
10;1;1
1;10;1
10;1;1
11;1;1
11;1;1
3;11;1
3;1;1
2;1;1
1;2;1
1;1;1
3;3;1
1;3;1
12;12;1
12;1;1
12;2;1
4;4;1
12;4;1
4;12;1
5;5;1
5;1;1
3;5;1
1;1;1
1;1;1
1;1;1
1;1;1
1;3;1
13;4;1
13;10;1
13;11;1
13;5;1
13;1;1
13;4;1
13;4;1
13;1;1
13;13;1
13;1;1
6;1;1
6;12;1
6;4;1
6;1;1
6;3;1
6;13;1
6;6;1
6;1;1
6;13;1
6;1;1
15;13;1
15;6;1
15;6;1
16;6;1
16;15;1
16;4;1
16;1;1
16;15;1
17;6;1
17;5;1
17;11;1
17;17;1
17;6;1
17;1;1
17;1;1
18;17;1
18;5;1
18;18;1
18;1;1
18;17;1
18;15;1
6;17;1
6;5;1
6;16;1
6;12;1
19;6;1
19;5;1
19;11;1
19;17;1
19;12;1
19;17;1
6;17;1
6;19;1
20;6;1
6;20;1
17;6;1
17;20;1
6;17;1
20;6;1
20;17;1
17;6;1
21;6;1
21;17;1
6;21;1
17;1;1
21;3;1
4;12;1
3;11;1
2;20;1
12;5;1
21;8;1
